time,heal_pos0,heal_pos1,heal_pos2,heal_pos3,heal_pos4,heal_pos5,heal_pos6,heal_vel0,heal_vel1,heal_vel2,heal_vel3,heal_vel4,heal_vel5,heal_vel6,heal_effort0,heal_effort1,heal_effort2,heal_effort3,heal_effort4,heal_effort5,heal_effort6,fr3_pos0,fr3_pos1,fr3_pos2,fr3_pos3,fr3_pos4,fr3_pos5,fr3_pos6,fr3_vel0,fr3_vel1,fr3_vel2,fr3_vel3,fr3_vel4,fr3_vel5,fr3_vel6,fr3_effort0,fr3_effort1,fr3_effort2,fr3_effort3,fr3_effort4,fr3_effort5,fr3_effort6
1750016681.873413,0.000108,-0.000635,0.000323,0.000383,-0.000228,-0.000323,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,-1.312480,-20.300600,15.212100,0.983371,0.632650,1.149180,nan,0.001303,-0.783584,-0.000934,-2.357368,-0.001702,1.573977,0.778043,-0.000347,-0.001739,0.000186,-0.000772,-0.000256,-0.000478,-0.000139,0.717212,-4.300817,-0.505265,22.417671,1.381419,2.005238,0.179491
1750016681.906411,0.000120,-0.000635,0.000335,0.000395,-0.000204,-0.000311,nan,0.000000,-0.000012,0.000000,0.000000,0.000000,0.000000,nan,-1.611940,-20.299100,15.212100,0.947437,0.559344,1.113240,nan,0.001305,-0.783580,-0.000937,-2.357368,-0.001706,1.573975,0.778049,0.000321,-0.001328,-0.000695,0.001181,-0.001486,0.000186,-0.000237,0.689442,-4.352391,-0.477494,22.417671,1.387828,2.025380,0.166673
1750016681.940332,0.000096,-0.000635,0.000335,0.000395,-0.000216,-0.000311,nan,0.000000,-0.000611,0.000000,0.000000,0.000000,0.000000,nan,-1.013030,-20.250000,14.762900,0.947437,0.596716,1.113240,nan,0.001305,-0.783578,-0.000935,-2.357365,-0.001701,1.573975,0.778040,0.000105,0.000223,-0.000259,0.000381,-0.000173,0.001135,-0.002665,0.689442,-4.376195,-0.529069,22.370064,1.375010,2.025380,0.199632
1750016681.976226,0.000108,-0.000635,0.000335,0.000395,-0.000204,-0.000323,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,-1.312480,-20.300600,14.762900,0.947437,0.559344,1.149180,nan,0.001303,-0.783576,-0.000936,-2.357365,-0.001702,1.573977,0.778048,-0.000834,0.001235,-0.000432,0.000976,0.000763,0.001051,0.003152,0.717212,-4.403966,-0.477494,22.370064,1.387828,2.011647,0.140123
1750016682.019763,0.000108,-0.000635,0.000347,0.000407,-0.000216,-0.000323,nan,0.000000,0.000395,0.000000,0.000000,0.000000,0.000000,nan,-1.312480,-20.348000,14.295700,0.911502,0.596716,1.149180,nan,0.001305,-0.783580,-0.000934,-2.357370,-0.001703,1.573975,0.778044,-0.000101,-0.001052,0.000742,-0.000840,-0.000418,0.000183,0.001316,0.689442,-4.352391,-0.529069,22.441475,1.387828,2.025380,0.179491
1750016682.042506,0.000108,-0.000623,0.000323,0.000383,-0.000204,-0.000311,nan,0.000000,-0.000072,0.000000,0.000000,0.000000,0.000000,nan,-1.312480,-20.883700,15.212100,0.983371,0.559344,1.113240,nan,0.001308,-0.783578,-0.000937,-2.357367,-0.001703,1.573977,0.778048,0.000728,-0.000208,-0.000735,-0.000010,-0.000374,-0.000179,0.000306,0.665638,-4.376195,-0.505265,22.393867,1.387828,2.011647,0.173082
1750016682.073942,0.000108,-0.000635,0.000335,0.000395,-0.000204,-0.000311,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,-1.312480,-20.300600,14.762900,0.947437,0.559344,1.113240,nan,0.001303,-0.783581,-0.000941,-2.357368,-0.001703,1.573976,0.778045,-0.001066,-0.001810,-0.001844,-0.000023,-0.000095,0.000161,-0.001897,0.717212,-4.352391,-0.453690,22.417671,1.394236,2.018056,0.186815
1750016682.107801,0.000108,-0.000611,0.000335,0.000407,-0.000216,-0.000323,nan,0.000000,0.000060,0.000000,0.000000,0.000000,0.000000,nan,-1.312480,-21.468400,14.762900,0.911502,0.596716,1.149180,nan,0.001305,-0.783578,-0.000939,-2.357365,-0.001703,1.573975,0.778041,-0.000057,-0.000724,-0.000406,0.000576,0.000951,-0.000637,-0.000636,0.689442,-4.376195,-0.477494,22.370064,1.387828,2.025380,0.193224
1750016682.141827,0.000096,-0.000623,0.000335,0.000395,-0.000204,-0.000323,nan,0.000000,-0.000647,0.000000,0.000000,0.000000,0.000000,nan,-1.013030,-20.814700,14.762900,0.911502,0.559344,1.149180,nan,0.001306,-0.783574,-0.000936,-2.357367,-0.001703,1.573973,0.778045,-0.000463,0.000981,0.000727,0.000303,0.000689,0.000163,0.000694,0.717212,-4.427770,-0.477494,22.393867,1.387828,2.011647,0.186815
1750016682.175928,0.000096,-0.000635,0.000335,0.000407,-0.000204,-0.000323,nan,0.000000,-0.000132,0.000000,0.000000,0.000000,0.000000,nan,-1.013030,-20.284800,14.762900,0.911502,0.559344,1.149180,nan,0.001305,-0.783574,-0.000936,-2.357366,-0.001701,1.573975,0.778045,0.000459,0.001394,0.000980,0.000652,0.001685,-0.000627,-0.000776,0.689442,-4.427770,-0.505265,22.393867,1.375010,2.025380,0.199632
