time,heal_pos0,heal_pos1,heal_pos2,heal_pos3,heal_pos4,heal_pos5,heal_pos6,heal_vel0,heal_vel1,heal_vel2,heal_vel3,heal_vel4,heal_vel5,heal_vel6,heal_effort0,heal_effort1,heal_effort2,heal_effort3,heal_effort4,heal_effort5,heal_effort6,fr3_pos0,fr3_pos1,fr3_pos2,fr3_pos3,fr3_pos4,fr3_pos5,fr3_pos6,fr3_vel0,fr3_vel1,fr3_vel2,fr3_vel3,fr3_vel4,fr3_vel5,fr3_vel6,fr3_effort0,fr3_effort1,fr3_effort2,fr3_effort3,fr3_effort4,fr3_effort5,fr3_effort6
1750014954.218573,-0.003078,0.000275,-0.000743,-0.000108,9.6e-05,-8.4e-05,,0.0,0.0,-0.000551,0.0,0.0,0.0,,0.136766,-18.5026,15.4773,1.21479,0.349487,1.17793,,0.001092,-0.78379,-0.000328,-2.357543,-0.000266,1.573773,0.778067,-0.000208,0.000678,0.000105,0.000614,0.001633,0.000234,-0.000189,0.415699,-4.146092,-0.909928,22.441475,0.798228,2.1563,0.026598
1750014954.251953,-0.00309,0.000287,-0.000755,-0.000108,8.4e-05,-8.4e-05,,3.6e-05,0.0,2.4e-05,0.0,0.0,0.0,,0.457647,-19.0716,15.8747,1.21479,0.385422,1.14055,,0.001094,-0.783793,-0.000326,-2.357545,-0.000269,1.573772,0.778068,0.000832,-0.00014,0.000615,-0.001238,-1.8e-05,-0.000401,0.001824,0.391895,-4.094518,-0.933732,22.469246,0.824778,2.162709,0.006456
1750014954.286968,-0.00309,0.000275,-0.000755,-0.000108,8.4e-05,-7.2e-05,,0.0,0.0,0.0,0.0,0.0,0.0,,0.460176,-18.5026,15.8769,1.21479,0.385422,1.10462,,0.001092,-0.78379,-0.000328,-2.357545,-0.000268,1.573773,0.77807,-0.000556,8.7e-05,-4.1e-05,-0.000942,-0.000325,0.00012,0.001772,0.415699,-4.146092,-0.909928,22.469246,0.811045,2.149892,-0.013686
1750014954.341639,-0.003102,0.000275,-0.000743,-0.000108,9.6e-05,-8.4e-05,,0.0,0.0,0.0,0.0,0.0,0.0,,0.759624,-18.5026,15.4277,1.21479,0.349487,1.14055,,0.001093,-0.783793,-0.000324,-2.357545,-0.000272,1.573773,0.778067,0.000444,-0.000182,0.001082,-0.000385,-0.002005,4.7e-05,0.000352,0.44347,-4.094518,-0.961503,22.469246,0.804637,2.149892,0.012865
1750014955.684376,0.037743,0.08126,0.006049,-0.135832,0.15804,-0.005785,,0.034713,0.077008,0.008493,-0.131724,0.150649,-0.000551,,-0.189111,-22.3725,16.5136,1.29161,0.058868,1.02245,,-0.000966,-0.722615,-0.003982,-2.445461,-0.002679,1.722784,0.775291,-0.001081,0.067888,-0.004819,-0.071661,-0.002028,0.141168,-0.004448,0.193531,-6.038487,-1.140031,22.862007,0.241587,2.366872,-0.140944
1750014955.717751,0.039025,0.084458,0.006384,-0.14121,0.164244,-0.005785,,0.031694,0.078169,0.008157,-0.129484,0.150134,0.000815,,1.15007,-24.3099,16.903,1.25143,0.039366,1.06485,,-0.001028,-0.720238,-0.004107,-2.4479,-0.002757,1.727572,0.775192,-0.000553,0.069643,-0.003005,-0.069418,-0.003509,0.136377,-0.002483,0.169727,-6.169408,-1.163834,22.885811,0.247996,2.393422,-0.200453
1750014955.750986,0.040414,0.08774,0.006744,-0.1469,0.170713,-0.005702,,0.032628,0.076588,0.008205,-0.131077,0.149272,0.002971,,1.61375,-22.345,17.2221,1.44219,0.067918,1.06342,,-0.001084,-0.717897,-0.004244,-2.450232,-0.002835,1.732208,0.77508,7.7e-05,0.06903,-0.004671,-0.069931,-0.002976,0.137757,-0.005802,0.169727,-6.217015,-1.11226,22.937386,0.22877,2.366872,-0.161086
1750014955.784245,0.041732,0.09089,0.007115,-0.152206,0.176833,-0.00557,,0.033623,0.07769,0.008037,-0.130957,0.149823,0.004168,,2.43149,-21.8628,16.3747,1.33869,0.005482,1.004,,-0.001151,-0.715501,-0.004366,-2.45251,-0.002918,1.736918,0.77498,-0.001392,0.069595,-0.003501,-0.066733,-0.001535,0.137216,-0.002619,0.141956,-6.296361,-1.140031,22.838203,0.247996,2.37328,-0.214186
1750014955.817513,0.04281,0.093597,0.007379,-0.156794,0.182068,-0.00539,,0.030377,0.076349,0.007774,-0.129927,0.152937,0.006732,,3.06662,-21.6335,16.6499,1.42307,0.033687,1.0948,,-0.00122,-0.713077,-0.004489,-2.454756,-0.002993,1.741676,0.77488,-0.003386,0.072096,-0.001951,-0.066141,-0.002957,0.144412,-0.003579,0.217335,-6.526464,-1.140031,22.862007,0.22877,2.307362,-0.153761
1750014955.850792,0.042978,0.094052,0.007426,-0.157561,0.182906,-0.005342,,0.030185,0.07775,0.007522,-0.130274,0.149787,0.006504,,3.09325,-22.7803,16.4749,1.52537,0.081824,1.10139,,-0.001275,-0.710616,-0.004616,-2.457011,-0.003065,1.746381,0.774773,-0.00123,0.070548,-0.003301,-0.066598,-0.000549,0.136105,-0.003999,0.141956,-6.550267,-1.088456,22.862007,0.222361,2.354054,-0.173903
