time,heal_vx,heal_vy,heal_vz,heal_wx,heal_wy,heal_wz,fr3_vx,fr3_vy,fr3_vz,fr3_wx,fr3_wy,fr3_wz
1750016681.987946,-0.077228,0.119409,-0.178981,0.010880,0.000904,0.080678,0.142026,-0.012800,-0.269625,0.000313,0.000055,-0.002398
1750016682.006357,-0.077228,0.119409,-0.178981,0.010880,0.000904,0.080678,0.142026,-0.012800,-0.269625,0.000313,0.000055,-0.002398
1750016682.023585,-0.077228,0.119409,-0.178981,0.010880,0.000904,0.080678,0.142026,-0.012800,-0.269625,0.000313,0.000055,-0.002398
1750016682.028717,-0.077228,0.119409,-0.178981,0.010880,0.000904,0.080678,0.226064,-0.020374,-0.429164,0.000481,0.000084,-0.003682
1750016682.037509,-0.077187,0.119377,-0.178961,0.010854,0.000879,0.080614,0.142077,-0.012805,-0.269722,0.000314,0.000055,-0.002398
1750016682.038025,-0.077187,0.119377,-0.178961,0.010854,0.000879,0.080614,0.142077,-0.012805,-0.269722,0.000314,0.000055,-0.002398
1750016682.044303,-0.077184,0.119361,-0.178883,0.010913,0.000908,0.080632,0.142096,-0.012807,-0.269758,0.000314,0.000055,-0.002399
1750016682.047034,-0.077189,0.119369,-0.178894,0.010913,0.000908,0.080636,0.142088,-0.012812,-0.269749,0.000307,0.000057,-0.002406
1750016682.054124,-0.077189,0.119369,-0.178894,0.010913,0.000908,0.080636,0.142088,-0.012812,-0.269749,0.000307,0.000057,-0.002406
1750016682.056766,-0.077189,0.119369,-0.178894,0.010913,0.000908,0.080636,0.142088,-0.012812,-0.269749,0.000307,0.000057,-0.002406
1750016682.063631,-0.077189,0.119369,-0.178894,0.010913,0.000908,0.080636,0.142088,-0.012812,-0.269749,0.000307,0.000057,-0.002406
1750016682.066509,-0.077189,0.119369,-0.178894,0.010913,0.000908,0.080636,0.142088,-0.012812,-0.269749,0.000307,0.000057,-0.002406
1750016682.073430,-0.077196,0.119393,-0.178961,0.010867,0.000883,0.080646,0.142056,-0.012810,-0.269689,0.000307,0.000057,-0.002405
1750016682.076326,-0.077196,0.119393,-0.178961,0.010867,0.000883,0.080646,0.142056,-0.012810,-0.269689,0.000307,0.000057,-0.002405
1750016682.083361,-0.077196,0.119393,-0.178961,0.010867,0.000883,0.080646,0.142056,-0.012810,-0.269689,0.000307,0.000057,-0.002405
1750016682.086334,-0.077196,0.119393,-0.178961,0.010867,0.000883,0.080646,0.142056,-0.012810,-0.269689,0.000307,0.000057,-0.002405
1750016682.093390,-0.077195,0.119392,-0.178959,0.010867,0.000883,0.080645,0.142061,-0.012797,-0.269690,0.000303,0.000057,-0.002396
1750016682.096308,-0.077195,0.119392,-0.178959,0.010867,0.000883,0.080645,0.142061,-0.012797,-0.269690,0.000303,0.000057,-0.002396
1750016682.103368,-0.077195,0.119392,-0.178959,0.010867,0.000883,0.080645,0.142061,-0.012797,-0.269690,0.000303,0.000057,-0.002396
1750016682.106380,-0.077195,0.119392,-0.178959,0.010867,0.000883,0.080645,0.142061,-0.012797,-0.269690,0.000303,0.000057,-0.002396
