time,heal_vx,heal_vy,heal_vz,heal_wx,heal_wy,heal_wz,fr3_vx,fr3_vy,fr3_vz,fr3_wx,fr3_wy,fr3_wz
1754047497.856528,-0.077193,0.119436,-0.179055,0.010740,0.000966,0.080783,0.141848,-0.012506,-0.269617,0.000503,0.000129,-0.002354
1754047497.873133,-0.077193,0.119436,-0.179055,0.010740,0.000966,0.080783,0.141848,-0.012506,-0.269617,0.000503,0.000129,-0.002354
1754047497.887579,-0.077193,0.119436,-0.179055,0.010740,0.000966,0.080783,0.141848,-0.012506,-0.269617,0.000503,0.000129,-0.002354
1754047497.891010,-0.077181,0.119423,-0.179009,0.010763,0.000966,0.080773,0.141881,-0.012509,-0.269678,0.000503,0.000129,-0.002354
1754047497.891256,-0.077181,0.119423,-0.179009,0.010763,0.000966,0.080773,0.141881,-0.012509,-0.269678,0.000503,0.000129,-0.002354
1754047497.895454,-0.077185,0.119428,-0.179017,0.010763,0.000966,0.080776,0.141880,-0.012511,-0.269668,0.000507,0.000123,-0.002358
1754047497.924195,-0.077185,0.119428,-0.179017,0.010763,0.000966,0.080776,0.141880,-0.012511,-0.269668,0.000507,0.000123,-0.002358
1754047497.925476,-0.077185,0.119428,-0.179017,0.010763,0.000966,0.080776,0.141880,-0.012511,-0.269668,0.000507,0.000123,-0.002358
1754047497.926768,-0.077185,0.119428,-0.179017,0.010763,0.000966,0.080776,0.225808,-0.019910,-0.429195,0.000777,0.000192,-0.003619
1754047497.926818,-0.077185,0.119428,-0.179017,0.010763,0.000966,0.080776,0.141880,-0.012511,-0.269668,0.000507,0.000123,-0.002358
1754047497.927372,-0.077193,0.119429,-0.179014,0.010774,0.001011,0.080775,0.141884,-0.012511,-0.269677,0.000507,0.000123,-0.002358
1754047497.927706,-0.077193,0.119429,-0.179014,0.010774,0.001011,0.080775,0.141884,-0.012511,-0.269677,0.000507,0.000123,-0.002358
1754047497.928792,-0.077193,0.119429,-0.179014,0.010774,0.001011,0.080775,0.141884,-0.012511,-0.269677,0.000507,0.000123,-0.002358
1754047497.930815,-0.077194,0.119430,-0.179015,0.010774,0.001011,0.080775,0.141881,-0.012503,-0.269676,0.000514,0.000129,-0.002346
1754047497.938844,-0.077194,0.119430,-0.179015,0.010774,0.001011,0.080775,0.141881,-0.012503,-0.269676,0.000514,0.000129,-0.002346
1754047497.940833,-0.077194,0.119436,-0.179054,0.010726,0.001010,0.080774,0.141885,-0.012503,-0.269684,0.000514,0.000129,-0.002346
1754047497.948842,-0.077194,0.119436,-0.179054,0.010726,0.001010,0.080774,0.141885,-0.012503,-0.269684,0.000514,0.000129,-0.002346
1754047497.950779,-0.077194,0.119436,-0.179054,0.010726,0.001010,0.080774,0.141885,-0.012503,-0.269684,0.000514,0.000129,-0.002346
1754047497.958822,-0.077194,0.119436,-0.179054,0.010726,0.001010,0.080774,0.141885,-0.012503,-0.269684,0.000514,0.000129,-0.002346
1754047497.960783,-0.077194,0.119436,-0.179054,0.010726,0.001010,0.080774,0.141885,-0.012503,-0.269684,0.000514,0.000129,-0.002346
1754047497.968894,-0.077194,0.119436,-0.179054,0.010726,0.001010,0.080774,0.141885,-0.012503,-0.269684,0.000514,0.000129,-0.002346
1754047497.970818,-0.077194,0.119436,-0.179054,0.010726,0.001010,0.080774,0.141885,-0.012503,-0.269684,0.000514,0.000129,-0.002346
1754047497.978875,-0.077184,0.119404,-0.178974,0.010797,0.001012,0.080767,0.141906,-0.012512,-0.269722,0.000516,0.000119,-0.002367
1754047497.980813,-0.077184,0.119404,-0.178974,0.010797,0.001012,0.080767,0.141906,-0.012512,-0.269722,0.000516,0.000119,-0.002367
1754047497.988830,-0.077184,0.119404,-0.178974,0.010797,0.001012,0.080767,0.141906,-0.012512,-0.269722,0.000516,0.000119,-0.002367
1754047497.990777,-0.077184,0.119404,-0.178974,0.010797,0.001012,0.080767,0.141906,-0.012512,-0.269722,0.000516,0.000119,-0.002367
1754047497.998832,-0.077184,0.119404,-0.178974,0.010797,0.001012,0.080767,0.141906,-0.012512,-0.269722,0.000516,0.000119,-0.002367
1754047498.000809,-0.077184,0.119404,-0.178974,0.010797,0.001012,0.080767,0.141906,-0.012512,-0.269722,0.000516,0.000119,-0.002367
1754047498.008862,-0.077200,0.119439,-0.179059,0.010740,0.000990,0.080785,0.141850,-0.012507,-0.269616,0.000516,0.000119,-0.002366
1754047498.010788,-0.077200,0.119439,-0.179059,0.010740,0.000990,0.080785,0.141850,-0.012507,-0.269616,0.000516,0.000119,-0.002366
1754047498.018791,-0.077200,0.119439,-0.179059,0.010740,0.000990,0.080785,0.141850,-0.012507,-0.269616,0.000516,0.000119,-0.002366
1754047498.020788,-0.077200,0.119439,-0.179059,0.010740,0.000990,0.080785,0.141850,-0.012507,-0.269616,0.000516,0.000119,-0.002366
1754047498.028820,-0.077201,0.119441,-0.179063,0.010740,0.000990,0.080786,0.141846,-0.012499,-0.269615,0.000514,0.000124,-0.002347
1754047498.030759,-0.077201,0.119441,-0.179063,0.010740,0.000990,0.080786,0.141846,-0.012499,-0.269615,0.000514,0.000124,-0.002347
1754047498.038798,-0.077199,0.119438,-0.179058,0.010740,0.000990,0.080784,0.141852,-0.012501,-0.269620,0.000511,0.000122,-0.002367
1754047498.041139,-0.077195,0.119428,-0.179016,0.010762,0.001014,0.080800,0.141880,-0.012504,-0.269673,0.000511,0.000122,-0.002367
1754047498.048849,-0.077195,0.119428,-0.179016,0.010762,0.001014,0.080800,0.141880,-0.012504,-0.269673,0.000511,0.000122,-0.002367
1754047498.050761,-0.077195,0.119428,-0.179016,0.010762,0.001014,0.080800,0.141880,-0.012504,-0.269673,0.000511,0.000122,-0.002367
1754047498.058794,-0.077195,0.119428,-0.179016,0.010762,0.001014,0.080800,0.141880,-0.012504,-0.269673,0.000511,0.000122,-0.002367
1754047498.060782,-0.077195,0.119428,-0.179016,0.010762,0.001014,0.080800,0.141880,-0.012504,-0.269673,0.000511,0.000122,-0.002367
1754047498.068839,-0.077195,0.119428,-0.179016,0.010762,0.001014,0.080800,0.141880,-0.012504,-0.269673,0.000511,0.000122,-0.002367
1754047498.070765,-0.077195,0.119428,-0.179016,0.010762,0.001014,0.080800,0.141880,-0.012504,-0.269673,0.000511,0.000122,-0.002367
1754047498.078845,-0.077185,0.119410,-0.178987,0.010787,0.000991,0.080797,0.141900,-0.012512,-0.269700,0.000511,0.000113,-0.002357
1754047498.080800,-0.077185,0.119410,-0.178987,0.010787,0.000991,0.080797,0.141900,-0.012512,-0.269700,0.000511,0.000113,-0.002357
1754047498.088847,-0.077185,0.119410,-0.178987,0.010787,0.000991,0.080797,0.141900,-0.012512,-0.269700,0.000511,0.000113,-0.002357
1754047498.090759,-0.077185,0.119410,-0.178987,0.010787,0.000991,0.080797,0.141900,-0.012512,-0.269700,0.000511,0.000113,-0.002357
1754047498.098813,-0.077185,0.119410,-0.178987,0.010787,0.000991,0.080797,0.141900,-0.012512,-0.269700,0.000511,0.000113,-0.002357
1754047498.100776,-0.077185,0.119410,-0.178987,0.010787,0.000991,0.080797,0.141900,-0.012512,-0.269700,0.000511,0.000113,-0.002357
1754047498.108843,-0.077203,0.119451,-0.179079,0.010742,0.000966,0.080792,0.141837,-0.012506,-0.269580,0.000511,0.000113,-0.002356
1754047498.110770,-0.077203,0.119451,-0.179079,0.010742,0.000966,0.080792,0.141837,-0.012506,-0.269580,0.000511,0.000113,-0.002356
1754047498.118822,-0.077198,0.119443,-0.179066,0.010741,0.000966,0.080788,0.141840,-0.012508,-0.269600,0.000507,0.000122,-0.002357
1754047498.120779,-0.077198,0.119443,-0.179066,0.010741,0.000966,0.080788,0.141840,-0.012508,-0.269600,0.000507,0.000122,-0.002357
1754047498.128835,-0.077198,0.119443,-0.179066,0.010741,0.000966,0.080788,0.141840,-0.012508,-0.269600,0.000507,0.000122,-0.002357
1754047498.130765,-0.077198,0.119443,-0.179066,0.010741,0.000966,0.080788,0.141840,-0.012508,-0.269600,0.000507,0.000122,-0.002357
1754047498.138886,-0.077198,0.119443,-0.179066,0.010741,0.000966,0.080788,0.141840,-0.012508,-0.269600,0.000507,0.000122,-0.002357
1754047498.140811,-0.077190,0.119436,-0.179060,0.010729,0.000945,0.080809,0.141848,-0.012509,-0.269616,0.000507,0.000122,-0.002358
1754047498.148868,-0.077190,0.119436,-0.179060,0.010729,0.000945,0.080809,0.141848,-0.012509,-0.269616,0.000507,0.000122,-0.002358
1754047498.150797,-0.077190,0.119436,-0.179060,0.010729,0.000945,0.080809,0.141848,-0.012509,-0.269616,0.000507,0.000122,-0.002358
1754047498.158818,-0.077190,0.119436,-0.179060,0.010729,0.000945,0.080809,0.141848,-0.012509,-0.269616,0.000507,0.000122,-0.002358
1754047498.160843,-0.077190,0.119436,-0.179060,0.010729,0.000945,0.080809,0.141848,-0.012509,-0.269616,0.000507,0.000122,-0.002358
1754047498.168942,-0.078285,0.121130,-0.181599,0.010865,0.000957,0.081829,0.140373,-0.012389,-0.265540,0.000458,-0.001539,-0.002313
1754047498.170757,-0.078285,0.121130,-0.181599,0.010865,0.000957,0.081829,0.140373,-0.012389,-0.265540,0.000458,-0.001539,-0.002313
1754047498.178839,-0.078294,0.121133,-0.181568,0.010911,0.001023,0.081800,0.140393,-0.012391,-0.265578,0.000458,-0.001539,-0.002313
1754047498.180774,-0.078294,0.121133,-0.181568,0.010911,0.001023,0.081800,0.140393,-0.012391,-0.265578,0.000458,-0.001539,-0.002313
1754047498.188802,-0.078294,0.121133,-0.181568,0.010911,0.001023,0.081800,0.140393,-0.012391,-0.265578,0.000458,-0.001539,-0.002313
1754047498.190734,-0.078294,0.121133,-0.181568,0.010911,0.001023,0.081800,0.140393,-0.012391,-0.265578,0.000458,-0.001539,-0.002313
1754047498.198825,-0.078294,0.121133,-0.181568,0.010911,0.001023,0.081800,0.140393,-0.012391,-0.265578,0.000458,-0.001539,-0.002313
1754047498.200747,-0.078294,0.121133,-0.181568,0.010911,0.001023,0.081800,0.140393,-0.012391,-0.265578,0.000458,-0.001539,-0.002313
1754047498.208839,-0.080355,0.124202,-0.187397,0.010806,0.000862,0.082893,0.135726,-0.012345,-0.255841,0.000339,-0.002102,-0.002166
1754047498.210742,-0.080355,0.124202,-0.187397,0.010806,0.000862,0.082893,0.135726,-0.012345,-0.255841,0.000339,-0.002102,-0.002166
1754047498.218836,-0.080355,0.124202,-0.187397,0.010806,0.000862,0.082893,0.135726,-0.012345,-0.255841,0.000339,-0.002102,-0.002166
1754047498.220754,-0.080355,0.124202,-0.187397,0.010806,0.000862,0.082893,0.135726,-0.012345,-0.255841,0.000339,-0.002102,-0.002166
1754047498.228773,-0.080355,0.124202,-0.187397,0.010806,0.000862,0.082893,0.135726,-0.012345,-0.255841,0.000339,-0.002102,-0.002166
1754047498.230745,-0.080355,0.124202,-0.187397,0.010806,0.000862,0.082893,0.135726,-0.012345,-0.255841,0.000339,-0.002102,-0.002166
1754047498.238759,-0.080355,0.124202,-0.187397,0.010806,0.000862,0.082893,0.135726,-0.012345,-0.255841,0.000339,-0.002102,-0.002166
1754047498.240758,-0.075860,0.117173,-0.178018,0.011520,0.000946,0.077438,0.142953,-0.012984,-0.269568,0.000363,-0.002096,-0.002275
1754047498.248779,-0.075860,0.117173,-0.178018,0.011520,0.000946,0.077438,0.142953,-0.012984,-0.269568,0.000363,-0.002096,-0.002275
1754047498.250732,-0.079125,0.122225,-0.185602,0.011924,0.000983,0.080481,0.136767,-0.012488,-0.257849,0.000212,-0.001786,-0.001998
