time,heal_vx,heal_vy,heal_vz,heal_wx,heal_wy,heal_wz,fr3_vx,fr3_vy,fr3_vz,fr3_wx,fr3_wy,fr3_wz
1755129328.412820,-0.062033,0.040089,-0.075008,-0.129344,0.467119,-0.080347,0.061749,-0.276227,-0.109243,-0.366915,0.355617,0.366896
1755129328.414854,-0.062033,0.040089,-0.075008,-0.129344,0.467119,-0.080347,0.061749,-0.276227,-0.109243,-0.366915,0.355617,0.366896
1755129328.422769,-0.062033,0.040089,-0.075008,-0.129344,0.467119,-0.080347,0.061749,-0.276227,-0.109243,-0.366915,0.355617,0.366896
1755129328.433856,-0.062033,0.040089,-0.075008,-0.129344,0.467119,-0.080347,0.061749,-0.276227,-0.109243,-0.366915,0.355617,0.366896
1755129328.434942,-0.061983,0.040056,-0.074973,-0.129303,0.466928,-0.080366,0.061788,-0.276404,-0.109313,-0.367129,0.355824,0.367109
1755129328.436803,-0.061983,0.040056,-0.074973,-0.129303,0.466928,-0.080366,0.061788,-0.276404,-0.109313,-0.367129,0.355824,0.367109
1755129328.442680,-0.061983,0.040056,-0.074973,-0.129303,0.466928,-0.080366,0.061788,-0.276404,-0.109313,-0.367129,0.355824,0.367109
1755129328.443978,-0.061983,0.040056,-0.074973,-0.129303,0.466928,-0.080366,0.098331,-0.439875,-0.173963,-0.563673,0.546316,0.563643
1755129328.451744,-0.061986,0.040057,-0.074976,-0.129307,0.466943,-0.080369,0.061786,-0.276402,-0.109312,-0.367126,0.355819,0.367104
1755129328.452370,-0.061986,0.040057,-0.074976,-0.129307,0.466943,-0.080369,0.061786,-0.276402,-0.109312,-0.367126,0.355819,0.367104
1755129328.461771,-0.061986,0.040057,-0.074976,-0.129307,0.466943,-0.080369,0.061786,-0.276402,-0.109312,-0.367126,0.355819,0.367104
1755129328.462377,-0.062030,0.040072,-0.075001,-0.129326,0.466980,-0.080296,0.061783,-0.276392,-0.109308,-0.367114,0.355808,0.367092
1755129328.471647,-0.062030,0.040072,-0.075001,-0.129326,0.466980,-0.080296,0.061783,-0.276392,-0.109308,-0.367114,0.355808,0.367092
1755129328.472158,-0.062030,0.040072,-0.075001,-0.129326,0.466980,-0.080296,0.061783,-0.276392,-0.109308,-0.367114,0.355808,0.367092
1755129328.483140,-0.062030,0.040072,-0.075001,-0.129326,0.466980,-0.080296,0.061783,-0.276392,-0.109308,-0.367114,0.355808,0.367092
1755129328.484013,-0.062030,0.040072,-0.075001,-0.129326,0.466980,-0.080296,0.098327,-0.439867,-0.173960,-0.563664,0.546305,0.563632
1755129328.491980,-0.062034,0.040075,-0.075005,-0.129332,0.467005,-0.080301,0.061781,-0.276388,-0.109309,-0.367096,0.355802,0.367079
1755129328.492058,-0.062034,0.040075,-0.075005,-0.129332,0.467005,-0.080301,0.061781,-0.276388,-0.109309,-0.367096,0.355802,0.367079
1755129328.501561,-0.062039,0.040093,-0.075015,-0.129355,0.467159,-0.080354,0.061743,-0.276221,-0.109243,-0.366895,0.355607,0.366878
1755129328.502049,-0.062039,0.040093,-0.075015,-0.129355,0.467159,-0.080354,0.061743,-0.276221,-0.109243,-0.366895,0.355607,0.366878
1755129328.511849,-0.062038,0.040092,-0.075014,-0.129353,0.467151,-0.080353,0.061748,-0.276209,-0.109230,-0.366905,0.355598,0.366898
1755129328.512086,-0.062038,0.040092,-0.075014,-0.129353,0.467151,-0.080353,0.061748,-0.276209,-0.109230,-0.366905,0.355598,0.366898
1755129328.521604,-0.062038,0.040092,-0.075014,-0.129353,0.467151,-0.080353,0.061748,-0.276209,-0.109230,-0.366905,0.355598,0.366898
1755129328.522210,-0.062038,0.040092,-0.075014,-0.129353,0.467151,-0.080353,0.061748,-0.276209,-0.109230,-0.366905,0.355598,0.366898
1755129328.531531,-0.062012,0.040083,-0.074998,-0.129331,0.467096,-0.080340,0.061767,-0.276294,-0.109264,-0.367007,0.355697,0.367000
1755129328.532018,-0.062012,0.040083,-0.074998,-0.129331,0.467096,-0.080340,0.061767,-0.276294,-0.109264,-0.367007,0.355697,0.367000
1755129328.541475,-0.062012,0.040083,-0.074998,-0.129331,0.467096,-0.080340,0.061767,-0.276294,-0.109264,-0.367007,0.355697,0.367000
1755129328.541881,-0.062012,0.040083,-0.074998,-0.129331,0.467096,-0.080340,0.061767,-0.276294,-0.109264,-0.367007,0.355697,0.367000
1755129328.551819,-0.062009,0.040081,-0.074994,-0.129326,0.467078,-0.080337,0.061764,-0.276308,-0.109277,-0.367021,0.355716,0.366992
1755129328.552234,-0.062009,0.040081,-0.074994,-0.129326,0.467078,-0.080337,0.061764,-0.276308,-0.109277,-0.367021,0.355716,0.366992
1755129328.561950,-0.062026,0.040085,-0.075004,-0.129352,0.467083,-0.080343,0.061752,-0.276254,-0.109255,-0.366957,0.355654,0.366927
1755129328.562551,-0.062026,0.040085,-0.075004,-0.129352,0.467083,-0.080343,0.061752,-0.276254,-0.109255,-0.366957,0.355654,0.366927
1755129328.571916,-0.062026,0.040085,-0.075004,-0.129352,0.467083,-0.080343,0.061752,-0.276254,-0.109255,-0.366957,0.355654,0.366927
1755129328.572505,-0.062026,0.040085,-0.075004,-0.129352,0.467083,-0.080343,0.061752,-0.276254,-0.109255,-0.366957,0.355654,0.366927
1755129328.581977,-0.062026,0.040085,-0.075004,-0.129352,0.467083,-0.080343,0.061752,-0.276254,-0.109255,-0.366957,0.355654,0.366927
1755129328.582591,-0.062026,0.040085,-0.075004,-0.129352,0.467083,-0.080343,0.061752,-0.276254,-0.109255,-0.366957,0.355654,0.366927
1755129328.592036,-0.062026,0.040085,-0.075004,-0.129352,0.467083,-0.080343,0.061752,-0.276254,-0.109255,-0.366957,0.355654,0.366927
1755129328.592722,-0.062026,0.040085,-0.075004,-0.129352,0.467083,-0.080343,0.061752,-0.276254,-0.109255,-0.366957,0.355654,0.366927
1755129328.601903,-0.062029,0.040071,-0.075003,-0.129343,0.466977,-0.080298,0.061781,-0.276375,-0.109304,-0.367095,0.355794,0.367076
1755129328.602546,-0.062029,0.040071,-0.075003,-0.129343,0.466977,-0.080298,0.061781,-0.276375,-0.109304,-0.367095,0.355794,0.367076
1755129328.612763,-0.062029,0.040071,-0.075003,-0.129343,0.466977,-0.080298,0.061781,-0.276375,-0.109304,-0.367095,0.355794,0.367076
1755129328.613384,-0.062029,0.040071,-0.075003,-0.129343,0.466977,-0.080298,0.061781,-0.276375,-0.109304,-0.367095,0.355794,0.367076
1755129328.621869,-0.062029,0.040071,-0.075003,-0.129343,0.466977,-0.080298,0.061781,-0.276375,-0.109304,-0.367095,0.355794,0.367076
1755129328.622457,-0.062029,0.040071,-0.075003,-0.129343,0.466977,-0.080298,0.061781,-0.276375,-0.109304,-0.367095,0.355794,0.367076
1755129328.631868,-0.062014,0.040070,-0.075005,-0.129362,0.466999,-0.080300,0.061777,-0.276356,-0.109297,-0.367071,0.355771,0.367053
1755129328.632463,-0.062014,0.040070,-0.075005,-0.129362,0.466999,-0.080300,0.061777,-0.276356,-0.109297,-0.367071,0.355771,0.367053
1755129328.641861,-0.062016,0.040071,-0.075008,-0.129366,0.467014,-0.080302,0.061775,-0.276353,-0.109284,-0.367058,0.355751,0.367027
1755129328.642452,-0.062016,0.040071,-0.075008,-0.129366,0.467014,-0.080302,0.061775,-0.276353,-0.109284,-0.367058,0.355751,0.367027
1755129328.651839,-0.062016,0.040071,-0.075008,-0.129366,0.467014,-0.080302,0.061775,-0.276353,-0.109284,-0.367058,0.355751,0.367027
1755129328.652459,-0.062016,0.040071,-0.075008,-0.129366,0.467014,-0.080302,0.061775,-0.276353,-0.109284,-0.367058,0.355751,0.367027
1755129328.661840,-0.057434,0.037074,-0.070185,-0.128083,0.459711,-0.078437,0.065444,-0.292763,-0.115774,-0.386861,0.374944,0.386829
1755129328.662482,-0.057434,0.037074,-0.070185,-0.128083,0.459711,-0.078437,0.065444,-0.292763,-0.115774,-0.386861,0.374944,0.386829
1755129328.671882,-0.057434,0.037074,-0.070185,-0.128083,0.459711,-0.078437,0.065444,-0.292763,-0.115774,-0.386861,0.374944,0.386829
1755129328.672455,-0.057434,0.037074,-0.070185,-0.128083,0.459711,-0.078437,0.065444,-0.292763,-0.115774,-0.386861,0.374944,0.386829
1755129328.682059,-0.057434,0.037074,-0.070185,-0.128083,0.459711,-0.078437,0.065444,-0.292763,-0.115774,-0.386861,0.374944,0.386829
1755129328.682878,-0.057434,0.037074,-0.070185,-0.128083,0.459711,-0.078437,0.065444,-0.292763,-0.115774,-0.386861,0.374944,0.386829
1755129328.692341,-0.057457,0.037088,-0.070213,-0.128123,0.459857,-0.078462,0.065481,-0.292820,-0.115947,-0.386920,0.375160,0.386853
1755129328.693273,-0.057457,0.037088,-0.070213,-0.128123,0.459857,-0.078462,0.065481,-0.292820,-0.115947,-0.386920,0.375160,0.386853
1755129328.701896,-0.054531,0.035052,-0.066943,-0.129782,0.468123,-0.079980,0.067765,-0.303036,-0.119988,-0.399238,0.387098,0.399170
1755129328.702723,-0.054531,0.035052,-0.066943,-0.129782,0.468123,-0.079980,0.067765,-0.303036,-0.119988,-0.399238,0.387098,0.399170
1755129328.712029,-0.054531,0.035052,-0.066943,-0.129782,0.468123,-0.079980,0.067765,-0.303036,-0.119988,-0.399238,0.387098,0.399170
1755129328.712823,-0.054531,0.035052,-0.066943,-0.129782,0.468123,-0.079980,0.067765,-0.303036,-0.119988,-0.399238,0.387098,0.399170
